Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time,Year,Month,Day,Data Quality,Max Temp (°C),Max Temp Flag,Min Temp (°C),Min Temp Flag,Mean Temp (°C),Mean Temp Flag,Heat Deg Days (°C),Heat Deg Days Flag,Cool Deg Days (°C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10s deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
-123.18,49.19,VANCOUVER INTL A,1108395,2/2/2024,2024,2,2,,11.2,,7.3,,9.3,,8.7,,0,,0.3,,0,,0.3,,,,10,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2/3/2024,2024,2,3,,8.6,,4,,6.3,,11.7,,0,,0.2,,0,,0.2,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/4/2024,2024,2,4,,7.6,,1.4,,4.5,,13.5,,0,,0,,0,,0,,,,30,,31,
-123.18,49.19,VANCOUVER INTL A,1108395,2/5/2024,2024,2,5,,6.1,,0.3,,3.2,,14.8,,0,,0,,0,,0,,,,29,,32,
-123.18,49.19,VANCOUVER INTL A,1108395,2/6/2024,2024,2,6,,7.2,,3.1,,5.2,,12.8,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/7/2024,2024,2,7,,8.1,,2.2,,5.2,,12.8,,0,,0.8,,0,,0.8,,,,29,,43,
-123.18,49.19,VANCOUVER INTL A,1108395,2/8/2024,2024,2,8,,7.3,,3.9,,5.6,,12.4,,0,,0,,0,,0,,,,29,,36,
-123.18,49.19,VANCOUVER INTL A,1108395,2/9/2024,2024,2,9,,7,,-0.5,,3.3,,14.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/10/2024,2024,2,10,,8,,2.3,,5.2,,12.8,,0,,1.9,,0,,1.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/11/2024,2024,2,11,,7.5,,4.8,,6.2,,11.8,,0,,21.9,,0,,21.9,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/12/2024,2024,2,12,,8,,4,,6,,12,,0,,7.4,,0,,7.4,,,,29,,44,
-123.18,49.19,VANCOUVER INTL A,1108395,2/13/2024,2024,2,13,,7.8,,1,,4.4,,13.6,,0,,0,,0,,0,,,,30,,34,
-123.18,49.19,VANCOUVER INTL A,1108395,2/14/2024,2024,2,14,,7.6,,-2,,2.8,,15.2,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/15/2024,2024,2,15,,7.7,,-0.6,,3.6,,14.4,,0,,0,,0,,0,,,,10,,41,
-123.18,49.19,VANCOUVER INTL A,1108395,2/16/2024,2024,2,16,,10.4,,-3.9,,3.3,,14.7,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/17/2024,2024,2,17,,8.7,,0.7,,4.7,,13.3,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/18/2024,2024,2,18,,8.4,,3.3,,5.9,,12.1,,0,,0,,0,,0,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/19/2024,2024,2,19,,9.9,,1.5,,5.7,,12.3,,0,,3.4,,0,,3.4,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/20/2024,2024,2,20,,9.3,,5,,7.2,,10.8,,0,,3.6,,0,,3.6,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/21/2024,2024,2,21,,10.7,,6.4,,8.6,,9.4,,0,,9.1,,0,,9.1,,,,,M,,M
-123.18,49.19,VANCOUVER INTL A,1108395,2/22/2024,2024,2,22,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/23/2024,2024,2,23,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/24/2024,2024,2,24,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/25/2024,2024,2,25,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/26/2024,2024,2,26,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/27/2024,2024,2,27,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/28/2024,2024,2,28,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,2/29/2024,2024,2,29,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/1/2024,2024,3,1,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/2/2024,2024,3,2,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/3/2024,2024,3,3,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/4/2024,2024,3,4,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/5/2024,2024,3,5,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/6/2024,2024,3,6,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/7/2024,2024,3,7,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/8/2024,2024,3,8,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/9/2024,2024,3,9,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/10/2024,2024,3,10,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/11/2024,2024,3,11,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/12/2024,2024,3,12,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/13/2024,2024,3,13,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/14/2024,2024,3,14,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/15/2024,2024,3,15,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/16/2024,2024,3,16,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/17/2024,2024,3,17,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/18/2024,2024,3,18,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/19/2024,2024,3,19,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/20/2024,2024,3,20,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/21/2024,2024,3,21,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/22/2024,2024,3,22,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/23/2024,2024,3,23,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/24/2024,2024,3,24,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/25/2024,2024,3,25,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/26/2024,2024,3,26,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/27/2024,2024,3,27,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/28/2024,2024,3,28,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/29/2024,2024,3,29,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/30/2024,2024,3,30,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,3/31/2024,2024,3,31,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/1/2024,2024,4,1,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/2/2024,2024,4,2,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/3/2024,2024,4,3,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/4/2024,2024,4,4,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/5/2024,2024,4,5,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/6/2024,2024,4,6,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/7/2024,2024,4,7,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/8/2024,2024,4,8,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/9/2024,2024,4,9,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/10/2024,2024,4,10,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/11/2024,2024,4,11,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/12/2024,2024,4,12,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/13/2024,2024,4,13,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/14/2024,2024,4,14,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/15/2024,2024,4,15,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/16/2024,2024,4,16,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/17/2024,2024,4,17,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/18/2024,2024,4,18,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/19/2024,2024,4,19,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/20/2024,2024,4,20,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/21/2024,2024,4,21,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/22/2024,2024,4,22,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/23/2024,2024,4,23,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/24/2024,2024,4,24,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/25/2024,2024,4,25,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/26/2024,2024,4,26,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/27/2024,2024,4,27,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/28/2024,2024,4,28,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/29/2024,2024,4,29,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,4/30/2024,2024,4,30,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/1/2024,2024,5,1,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/2/2024,2024,5,2,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/3/2024,2024,5,3,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/4/2024,2024,5,4,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/5/2024,2024,5,5,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/6/2024,2024,5,6,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/7/2024,2024,5,7,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/8/2024,2024,5,8,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/9/2024,2024,5,9,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/10/2024,2024,5,10,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/11/2024,2024,5,11,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/12/2024,2024,5,12,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/13/2024,2024,5,13,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/14/2024,2024,5,14,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/15/2024,2024,5,15,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/16/2024,2024,5,16,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/17/2024,2024,5,17,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/18/2024,2024,5,18,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/19/2024,2024,5,19,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/20/2024,2024,5,20,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/21/2024,2024,5,21,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/22/2024,2024,5,22,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/23/2024,2024,5,23,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/24/2024,2024,5,24,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/25/2024,2024,5,25,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/26/2024,2024,5,26,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/27/2024,2024,5,27,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/28/2024,2024,5,28,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/29/2024,2024,5,29,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/30/2024,2024,5,30,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,5/31/2024,2024,5,31,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/1/2024,2024,6,1,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/2/2024,2024,6,2,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/3/2024,2024,6,3,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/4/2024,2024,6,4,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/5/2024,2024,6,5,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/6/2024,2024,6,6,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/7/2024,2024,6,7,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/8/2024,2024,6,8,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/9/2024,2024,6,9,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/10/2024,2024,6,10,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/11/2024,2024,6,11,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/12/2024,2024,6,12,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/13/2024,2024,6,13,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/14/2024,2024,6,14,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/15/2024,2024,6,15,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/16/2024,2024,6,16,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/17/2024,2024,6,17,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/18/2024,2024,6,18,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/19/2024,2024,6,19,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/20/2024,2024,6,20,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/21/2024,2024,6,21,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/22/2024,2024,6,22,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/23/2024,2024,6,23,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/24/2024,2024,6,24,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/25/2024,2024,6,25,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/26/2024,2024,6,26,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/27/2024,2024,6,27,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/28/2024,2024,6,28,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/29/2024,2024,6,29,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,6/30/2024,2024,6,30,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/1/2024,2024,7,1,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/2/2024,2024,7,2,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/3/2024,2024,7,3,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/4/2024,2024,7,4,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/5/2024,2024,7,5,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/6/2024,2024,7,6,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/7/2024,2024,7,7,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/8/2024,2024,7,8,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/9/2024,2024,7,9,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/10/2024,2024,7,10,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/11/2024,2024,7,11,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/12/2024,2024,7,12,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/13/2024,2024,7,13,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/14/2024,2024,7,14,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/15/2024,2024,7,15,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/16/2024,2024,7,16,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/17/2024,2024,7,17,,,,,,,,,,,,,,,,,,,,,,,
-123.18,49.19,VANCOUVER INTL A,1108395,7/18/2024,2024,7,18,,,,,,,,,,,,,,,,,,,,,,,
